,Brands,Wattage,Ratings,Price,Original_price,Discount,No_of_rating,No_of_review
0,Flipkart,500 W,4,₹999,"₹3,590",72% off,"2,911 Ratings",
1,Moonstruck,750 W,4.2,"₹1,399","₹3,999",65% off,"8,004 Ratings","1,743 Reviews"
2,Longway,700 W,4.3,"₹1,599","₹4,199",61% off,"37,031 Ratings","11,353 Reviews"
3,Flipkart,500 W,4.1,"₹1,149","₹2,799",58% off,"32,899 Ratings","15,674 Reviews"
4,Longway,750 W,4.2,"₹1,499","₹3,889",61% off,"59,904 Ratings","43,544 Reviews"
5,Pigeon,500 W,3.9,"₹1,649","₹4,995",66% off,"23,120 Ratings","1,482 Reviews"
6,Butterfly,750 W,4.3,"₹3,399","₹6,499",47% off,"90,390 Ratings","16,508 Reviews"
7,MAHARAJA,550 W,4,"₹2,799","₹5,399",48% off,"23,696 Ratings","2,181 Reviews"
8,DIGISMART,500 W,4.4,₹899,"₹2,990",69% off,"22,449 Ratings","6,644 Reviews"
9,Prestige,750 W,4.2,"₹2,999","₹5,995",49% off,"33,333 Ratings","13,154 Reviews"
10,Athots,550 W,4.3,₹999,"₹2,999",66% off,"8,818 Ratings","3,426 Reviews"
11,Ghoba,150 W,3.2,₹499,"₹2,199",77% off,"6,668 Ratings",
12,Flipkart,550 W,4,"₹1,099","₹2,810",60% off,"2,911 Ratings",
13,Ghoba,300 W,3.1,₹515,"₹2,499",79% off,"1,941 Ratings",
14,Prestige,750 W,4.2,"₹2,799","₹6,295",55% off,"33,333 Ratings","13,154 Reviews"
15,Growsmart,1100 W,4.2,"₹1,599","₹4,999",68% off,,
16,Butterfly,750 W,4.3,"₹4,499","₹8,199",45% off,"90,390 Ratings","16,508 Reviews"
17,Butterfly,500 W,4.1,"₹1,999","₹3,699",45% off,"20,482 Ratings","37,475 Reviews"
18,Growsmart,750 W,4,"₹1,144","₹3,799",69% off,,
19,Sansui,500 W,4.1,"₹1,249","₹3,599",65% off,"56,116 Ratings","4,878 Reviews"
20,Butterfly,500 W,4.1,"₹2,299","₹3,999",42% off,"20,482 Ratings","37,475 Reviews"
21,Longway,700 W,4.3,"₹1,599","₹4,199",61% off,"37,031 Ratings","11,353 Reviews"
22,NutriPro,500 W,4.3,"₹1,599","₹5,000",68% off,"25,090 Ratings","3,074 Reviews"
23,BAJAJ,500 W,4.2,"₹2,099","₹4,125",49% off,"10,490 Ratings","5,562 Reviews"
24,Longway,750 W,4.2,"₹1,499","₹3,889",61% off,"59,904 Ratings","43,544 Reviews"
25,Flipkart,500 W,4,₹999,"₹3,590",72% off,"2,911 Ratings",
26,Longway,750 W,4.2,"₹1,499","₹3,899",61% off,"59,904 Ratings","43,544 Reviews"
27,Flipkart,500 W,4.1,"₹1,149","₹2,799",58% off,"32,899 Ratings","15,674 Reviews"
28,Pigeon,500 W,3.9,"₹1,649","₹4,995",66% off,"23,120 Ratings","1,482 Reviews"
29,Butterfly,750 W,4.3,"₹3,399","₹6,499",47% off,"90,390 Ratings","16,508 Reviews"
30,DIGISMART,500 W,4.4,₹899,"₹2,990",69% off,"22,449 Ratings","6,644 Reviews"
31,Moonstruck,750 W,4.2,"₹1,399","₹3,999",65% off,"8,004 Ratings","1,743 Reviews"
32,Prestige,750 W,4.2,"₹2,999","₹5,995",49% off,"33,333 Ratings","13,154 Reviews"
33,Flipkart,550 W,4,"₹1,099","₹2,810",60% off,"2,911 Ratings",
34,MAHARAJA,550 W,4,"₹2,799","₹5,399",48% off,"23,696 Ratings","2,181 Reviews"
35,Athots,550 W,4.3,₹999,"₹2,999",66% off,"8,818 Ratings","3,426 Reviews"
36,Prestige,750 W,4.2,"₹2,799","₹6,295",55% off,"33,333 Ratings","13,154 Reviews"
37,Ghoba,150 W,3.2,₹499,"₹2,199",77% off,"6,668 Ratings",
38,Growsmart,1100 W,4.2,"₹1,599","₹4,999",68% off,,
39,Growsmart,750 W,4,"₹1,144","₹3,799",69% off,,
40,NutriPro,500 W,4.3,"₹1,799","₹6,000",70% off,"25,090 Ratings","3,074 Reviews"
41,Ghoba,300 W,3.1,₹515,"₹2,499",79% off,"1,941 Ratings",
42,Sansui,500 W,4.1,"₹1,249","₹3,599",65% off,"56,116 Ratings","4,878 Reviews"
43,NutriPro,500 W,4.3,"₹1,599","₹5,000",68% off,"25,090 Ratings","3,074 Reviews"
44,Butterfly,500 W,4.1,"₹1,999","₹3,699",45% off,"20,482 Ratings","37,475 Reviews"
45,Longway,550 W,4.1,"₹1,398","₹3,699",62% off,"7,416 Ratings","1,529 Reviews"
46,Butterfly,500 W,4.1,"₹2,299","₹3,999",42% off,"20,482 Ratings","37,475 Reviews"
47,FRONY,450 W,3,,,,,
48,Longway,750 W,4.2,"₹1,499","₹3,889",61% off,"59,904 Ratings","43,544 Reviews"
49,Flipkart,500 W,4,₹999,"₹3,590",72% off,"2,911 Ratings",
50,Moonstruck,750 W,4.2,"₹1,399","₹3,999",65% off,"8,004 Ratings","1,743 Reviews"
51,Flipkart,500 W,4.1,"₹1,149","₹2,799",58% off,"32,899 Ratings","15,674 Reviews"
52,Pigeon,500 W,3.9,"₹1,649","₹4,995",66% off,"23,120 Ratings","1,482 Reviews"
53,Butterfly,750 W,4.3,"₹3,399","₹6,499",47% off,"90,390 Ratings","16,508 Reviews"
54,DIGISMART,500 W,4.4,₹899,"₹2,990",69% off,"22,449 Ratings","6,644 Reviews"
55,Longway,750 W,4.2,"₹1,499","₹3,899",61% off,"59,904 Ratings","43,544 Reviews"
56,Prestige,750 W,4.2,"₹2,999","₹5,995",49% off,"33,333 Ratings","13,154 Reviews"
57,Flipkart,550 W,4,"₹1,099","₹2,810",60% off,"2,911 Ratings",
58,MAHARAJA,550 W,4,"₹2,799","₹5,399",48% off,"23,696 Ratings","2,181 Reviews"
59,Athots,550 W,4.3,₹999,"₹2,999",66% off,"8,818 Ratings","3,426 Reviews"
60,Prestige,750 W,4.2,"₹2,799","₹6,295",55% off,"33,333 Ratings","13,154 Reviews"
61,Ghoba,300 W,3.1,₹515,"₹2,499",79% off,"1,941 Ratings",
62,Growsmart,1100 W,4.2,"₹1,599","₹4,999",68% off,,
63,Growsmart,750 W,4,"₹1,144","₹3,799",69% off,,
64,Ghoba,150 W,3.2,₹499,"₹2,199",77% off,"6,668 Ratings",
65,NutriPro,500 W,4.3,"₹1,799","₹6,000",70% off,"25,090 Ratings","3,074 Reviews"
66,Sansui,500 W,4.1,"₹1,249","₹3,599",65% off,"56,116 Ratings","4,878 Reviews"
67,NutriPro,500 W,4.3,"₹1,599","₹5,000",68% off,"25,090 Ratings","3,074 Reviews"
68,Butterfly,500 W,4.1,"₹1,999","₹3,699",45% off,"20,482 Ratings","37,475 Reviews"
69,Longway,550 W,4.1,"₹1,398","₹3,699",62% off,"7,416 Ratings","1,529 Reviews"
70,Butterfly,500 W,4.1,"₹2,299","₹3,999",42% off,"20,482 Ratings","37,475 Reviews"
71,FRONY,450 W,3,,,,,
72,Longway,750 W,4.2,"₹1,499","₹3,889",61% off,"59,904 Ratings","43,544 Reviews"
73,Longway,750 W,4.2,"₹1,499","₹3,899",61% off,"59,904 Ratings","43,544 Reviews"
74,Moonstruck,750 W,4.2,"₹1,399","₹3,999",65% off,"8,004 Ratings","1,743 Reviews"
75,Flipkart,500 W,4.1,"₹1,149","₹2,799",58% off,"32,899 Ratings","15,674 Reviews"
76,Pigeon,500 W,3.9,"₹1,649","₹4,995",66% off,"23,120 Ratings","1,482 Reviews"
77,Butterfly,750 W,4.3,"₹3,399","₹6,499",47% off,"90,390 Ratings","16,508 Reviews"
78,DIGISMART,500 W,4.4,₹899,"₹2,990",69% off,"22,449 Ratings","6,644 Reviews"
79,Flipkart,500 W,4,₹999,"₹3,590",72% off,"2,911 Ratings",
80,Prestige,750 W,4.2,"₹2,999","₹5,995",49% off,"33,333 Ratings","13,154 Reviews"
81,Flipkart,550 W,4,"₹1,099","₹2,810",60% off,"2,911 Ratings",
82,Athots,550 W,4.3,₹999,"₹2,999",66% off,"8,818 Ratings","3,426 Reviews"
83,MAHARAJA,550 W,4,"₹2,799","₹5,399",48% off,"23,696 Ratings","2,181 Reviews"
84,Prestige,750 W,4.2,"₹2,799","₹6,295",55% off,"33,333 Ratings","13,154 Reviews"
85,Ghoba,150 W,3.2,₹499,"₹2,199",77% off,"6,668 Ratings",
86,Growsmart,1100 W,4.2,"₹1,599","₹4,999",68% off,,
87,Growsmart,750 W,4,"₹1,144","₹3,799",69% off,,
88,Ghoba,300 W,3.1,₹515,"₹2,499",79% off,"1,941 Ratings",
89,Butterfly,500 W,4.1,"₹1,999","₹3,699",45% off,"20,482 Ratings","37,475 Reviews"
90,Sansui,500 W,4.1,"₹1,249","₹3,599",65% off,"56,116 Ratings","4,878 Reviews"
91,NutriPro,500 W,4.3,"₹1,599","₹5,000",68% off,"25,090 Ratings","3,074 Reviews"
92,NutriPro,500 W,4.3,"₹1,799","₹6,000",70% off,"25,090 Ratings","3,074 Reviews"
93,Longway,550 W,4.1,"₹1,398","₹3,699",62% off,"7,416 Ratings","1,529 Reviews"
94,Butterfly,500 W,4.1,"₹2,299","₹3,999",42% off,"20,482 Ratings","37,475 Reviews"
95,FRONY,450 W,3,,,,,
96,Longway,750 W,4.2,"₹1,499","₹3,889",61% off,"59,904 Ratings","43,544 Reviews"
97,Flipkart,500 W,4,₹999,"₹3,590",72% off,"2,911 Ratings",
98,Moonstruck,750 W,4.2,"₹1,399","₹3,999",65% off,"8,004 Ratings","1,743 Reviews"
99,Flipkart,500 W,4.1,"₹1,149","₹2,799",58% off,"32,899 Ratings","15,674 Reviews"
100,Pigeon,500 W,3.9,"₹1,649","₹4,995",66% off,"23,120 Ratings","1,482 Reviews"
101,Butterfly,750 W,4.3,"₹3,399","₹6,499",47% off,"90,390 Ratings","16,508 Reviews"
102,DIGISMART,500 W,4.4,₹899,"₹2,990",69% off,"22,449 Ratings","6,644 Reviews"
103,Longway,750 W,4.2,"₹1,499","₹3,899",61% off,"59,904 Ratings","43,544 Reviews"
104,Prestige,750 W,4.2,"₹2,999","₹5,995",49% off,"33,333 Ratings","13,154 Reviews"
105,Flipkart,550 W,4,"₹1,099","₹2,810",60% off,"2,911 Ratings",
106,MAHARAJA,550 W,4,"₹2,799","₹5,399",48% off,"23,696 Ratings","2,181 Reviews"
107,Athots,550 W,4.3,₹999,"₹2,999",66% off,"8,818 Ratings","3,426 Reviews"
108,Prestige,750 W,4.2,"₹2,799","₹6,295",55% off,"33,333 Ratings","13,154 Reviews"
109,Ghoba,300 W,3.1,₹515,"₹2,499",79% off,"1,941 Ratings",
110,Growsmart,1100 W,4.2,"₹1,599","₹4,999",68% off,,
111,Growsmart,750 W,4,"₹1,144","₹3,799",69% off,,
112,Ghoba,150 W,3.2,₹499,"₹2,199",77% off,"6,668 Ratings",
113,NutriPro,500 W,4.3,"₹1,799","₹6,000",70% off,"25,090 Ratings","3,074 Reviews"
114,Sansui,500 W,4.1,"₹1,249","₹3,599",65% off,"56,116 Ratings","4,878 Reviews"
115,NutriPro,500 W,4.3,"₹1,599","₹5,000",68% off,"25,090 Ratings","3,074 Reviews"
116,Butterfly,500 W,4.1,"₹1,999","₹3,699",45% off,"20,482 Ratings","37,475 Reviews"
117,Longway,550 W,4.1,"₹1,398","₹3,699",62% off,"7,416 Ratings","1,529 Reviews"
118,Butterfly,500 W,4.1,"₹2,299","₹3,999",42% off,"20,482 Ratings","37,475 Reviews"
119,FRONY,450 W,3,,,,,
120,Flipkart,500 W,4,₹999,"₹3,590",72% off,"2,911 Ratings",
121,Moonstruck,750 W,4.2,"₹1,399","₹3,999",65% off,"8,004 Ratings","1,743 Reviews"
122,Longway,700 W,4.3,"₹1,599","₹4,199",61% off,"37,031 Ratings","11,353 Reviews"
123,Flipkart,500 W,4.1,"₹1,149","₹2,799",58% off,"32,899 Ratings","15,674 Reviews"
124,Longway,750 W,4.2,"₹1,499","₹3,889",61% off,"59,904 Ratings","43,544 Reviews"
125,Pigeon,500 W,3.9,"₹1,649","₹4,995",66% off,"23,120 Ratings","1,482 Reviews"
126,Butterfly,750 W,4.3,"₹3,399","₹6,499",47% off,"90,390 Ratings","16,508 Reviews"
127,MAHARAJA,550 W,4,"₹2,799","₹5,399",48% off,"23,696 Ratings","2,181 Reviews"
128,DIGISMART,500 W,4.4,₹899,"₹2,990",69% off,"22,449 Ratings","6,644 Reviews"
129,Prestige,750 W,4.2,"₹2,999","₹5,995",49% off,"33,333 Ratings","13,154 Reviews"
130,Athots,550 W,4.3,₹999,"₹2,999",66% off,"8,818 Ratings","3,426 Reviews"
131,Ghoba,150 W,3.2,₹499,"₹2,199",77% off,"6,668 Ratings",
132,Flipkart,550 W,4,"₹1,099","₹2,810",60% off,"2,911 Ratings",
133,Ghoba,300 W,3.1,₹515,"₹2,499",79% off,"1,941 Ratings",
134,Prestige,750 W,4.2,"₹2,799","₹6,295",55% off,"33,333 Ratings","13,154 Reviews"
135,Growsmart,1100 W,4.2,"₹1,599","₹4,999",68% off,,
136,Butterfly,750 W,4.3,"₹4,499","₹8,199",45% off,"90,390 Ratings","16,508 Reviews"
137,Butterfly,500 W,4.1,"₹1,999","₹3,699",45% off,"20,482 Ratings","37,475 Reviews"
138,Growsmart,750 W,4,"₹1,144","₹3,799",69% off,,
139,Sansui,500 W,4.1,"₹1,249","₹3,599",65% off,"56,116 Ratings","4,878 Reviews"
140,Butterfly,500 W,4.1,"₹2,299","₹3,999",42% off,"20,482 Ratings","37,475 Reviews"
141,Longway,700 W,4.3,"₹1,599","₹4,199",61% off,"37,031 Ratings","11,353 Reviews"
142,NutriPro,500 W,4.3,"₹1,599","₹5,000",68% off,"25,090 Ratings","3,074 Reviews"
143,BAJAJ,500 W,4.2,"₹2,099","₹4,125",49% off,"10,490 Ratings","5,562 Reviews"
144,Flipkart,500 W,4,₹999,"₹3,590",72% off,"2,911 Ratings",
145,Moonstruck,750 W,4.2,"₹1,399","₹3,999",65% off,"8,004 Ratings","1,743 Reviews"
146,Longway,700 W,4.3,"₹1,599","₹4,199",61% off,"37,031 Ratings","11,353 Reviews"
147,Flipkart,500 W,4.1,"₹1,149","₹2,799",58% off,"32,899 Ratings","15,674 Reviews"
148,Longway,750 W,4.2,"₹1,499","₹3,889",61% off,"59,904 Ratings","43,544 Reviews"
149,Pigeon,500 W,3.9,"₹1,649","₹4,995",66% off,"23,120 Ratings","1,482 Reviews"
150,Butterfly,750 W,4.3,"₹3,399","₹6,499",47% off,"90,390 Ratings","16,508 Reviews"
151,MAHARAJA,550 W,4,"₹2,799","₹5,399",48% off,"23,696 Ratings","2,181 Reviews"
152,DIGISMART,500 W,4.4,₹899,"₹2,990",69% off,"22,449 Ratings","6,644 Reviews"
153,Prestige,750 W,4.2,"₹2,999","₹5,995",49% off,"33,333 Ratings","13,154 Reviews"
154,Athots,550 W,4.3,₹999,"₹2,999",66% off,"8,818 Ratings","3,426 Reviews"
155,Ghoba,150 W,3.2,₹499,"₹2,199",77% off,"6,668 Ratings",
156,Flipkart,550 W,4,"₹1,099","₹2,810",60% off,"2,911 Ratings",
157,Ghoba,300 W,3.1,₹515,"₹2,499",79% off,"1,941 Ratings",
158,Prestige,750 W,4.2,"₹2,799","₹6,295",55% off,"33,333 Ratings","13,154 Reviews"
159,Growsmart,1100 W,4.2,"₹1,599","₹4,999",68% off,,
160,Butterfly,500 W,4.1,"₹1,999","₹3,699",45% off,"20,482 Ratings","37,475 Reviews"
161,Butterfly,750 W,4.3,"₹4,499","₹8,199",45% off,"90,390 Ratings","16,508 Reviews"
162,Growsmart,750 W,4,"₹1,144","₹3,799",69% off,,
163,Sansui,500 W,4.1,"₹1,249","₹3,599",65% off,"56,116 Ratings","4,878 Reviews"
164,Butterfly,500 W,4.1,"₹2,299","₹3,999",42% off,"20,482 Ratings","37,475 Reviews"
165,Longway,700 W,4.3,"₹1,599","₹4,199",61% off,"37,031 Ratings","11,353 Reviews"
166,NutriPro,500 W,4.3,"₹1,599","₹5,000",68% off,"25,090 Ratings","3,074 Reviews"
167,BAJAJ,500 W,4.2,"₹2,099","₹4,125",49% off,"10,490 Ratings","5,562 Reviews"
168,Longway,750 W,4.2,"₹1,499","₹3,889",61% off,"59,904 Ratings","43,544 Reviews"
169,Flipkart,500 W,4,₹999,"₹3,590",72% off,"2,911 Ratings",
170,Moonstruck,750 W,4.2,"₹1,399","₹3,999",65% off,"8,004 Ratings","1,743 Reviews"
171,Flipkart,500 W,4.1,"₹1,149","₹2,799",58% off,"32,899 Ratings","15,674 Reviews"
172,Pigeon,500 W,3.9,"₹1,649","₹4,995",66% off,"23,120 Ratings","1,482 Reviews"
173,Butterfly,750 W,4.3,"₹3,399","₹6,499",47% off,"90,390 Ratings","16,508 Reviews"
174,DIGISMART,500 W,4.4,₹899,"₹2,990",69% off,"22,449 Ratings","6,644 Reviews"
175,Longway,750 W,4.2,"₹1,499","₹3,899",61% off,"59,904 Ratings","43,544 Reviews"
176,Prestige,750 W,4.2,"₹2,999","₹5,995",49% off,"33,333 Ratings","13,154 Reviews"
177,Flipkart,550 W,4,"₹1,099","₹2,810",60% off,"2,911 Ratings",
178,MAHARAJA,550 W,4,"₹2,799","₹5,399",48% off,"23,696 Ratings","2,181 Reviews"
179,Athots,550 W,4.3,₹999,"₹2,999",66% off,"8,818 Ratings","3,426 Reviews"
180,Prestige,750 W,4.2,"₹2,799","₹6,295",55% off,"33,333 Ratings","13,154 Reviews"
181,Ghoba,300 W,3.1,₹515,"₹2,499",79% off,"1,941 Ratings",
182,Growsmart,1100 W,4.2,"₹1,599","₹4,999",68% off,,
183,Growsmart,750 W,4,"₹1,144","₹3,799",69% off,,
184,Ghoba,150 W,3.2,₹499,"₹2,199",77% off,"6,668 Ratings",
185,NutriPro,500 W,4.3,"₹1,799","₹6,000",70% off,"25,090 Ratings","3,074 Reviews"
186,Sansui,500 W,4.1,"₹1,249","₹3,599",65% off,"56,116 Ratings","4,878 Reviews"
187,NutriPro,500 W,4.3,"₹1,599","₹5,000",68% off,"25,090 Ratings","3,074 Reviews"
188,Butterfly,500 W,4.1,"₹1,999","₹3,699",45% off,"20,482 Ratings","37,475 Reviews"
189,Longway,550 W,4.1,"₹1,398","₹3,699",62% off,"7,416 Ratings","1,529 Reviews"
190,Butterfly,500 W,4.1,"₹2,299","₹3,999",42% off,"20,482 Ratings","37,475 Reviews"
191,FRONY,450 W,3,,,,,
192,Flipkart,500 W,4,₹999,"₹3,590",72% off,"2,911 Ratings",
193,Moonstruck,750 W,4.2,"₹1,399","₹3,999",65% off,"8,004 Ratings","1,743 Reviews"
194,Longway,700 W,4.3,"₹1,599","₹4,199",61% off,"37,031 Ratings","11,353 Reviews"
195,Flipkart,500 W,4.1,"₹1,149","₹2,799",58% off,"32,899 Ratings","15,674 Reviews"
196,Longway,750 W,4.2,"₹1,499","₹3,889",61% off,"59,904 Ratings","43,544 Reviews"
197,Pigeon,500 W,3.9,"₹1,649","₹4,995",66% off,"23,120 Ratings","1,482 Reviews"
198,Butterfly,750 W,4.3,"₹3,399","₹6,499",47% off,"90,390 Ratings","16,508 Reviews"
199,MAHARAJA,550 W,4,"₹2,799","₹5,399",48% off,"23,696 Ratings","2,181 Reviews"
200,DIGISMART,500 W,4.4,₹899,"₹2,990",69% off,"22,449 Ratings","6,644 Reviews"
201,Prestige,750 W,4.2,"₹2,999","₹5,995",49% off,"33,333 Ratings","13,154 Reviews"
202,Athots,550 W,4.3,₹999,"₹2,999",66% off,"8,818 Ratings","3,426 Reviews"
203,Ghoba,150 W,3.2,₹499,"₹2,199",77% off,"6,668 Ratings",
204,Flipkart,550 W,4,"₹1,099","₹2,810",60% off,"2,911 Ratings",
205,Ghoba,300 W,3.1,₹515,"₹2,499",79% off,"1,941 Ratings",
206,Prestige,750 W,4.2,"₹2,799","₹6,295",55% off,"33,333 Ratings","13,154 Reviews"
207,Growsmart,1100 W,4.2,"₹1,599","₹4,999",68% off,,
208,Butterfly,750 W,4.3,"₹4,499","₹8,199",45% off,"90,390 Ratings","16,508 Reviews"
209,Butterfly,500 W,4.1,"₹1,999","₹3,699",45% off,"20,482 Ratings","37,475 Reviews"
210,Growsmart,750 W,4,"₹1,144","₹3,799",69% off,,
211,Sansui,500 W,4.1,"₹1,249","₹3,599",65% off,"56,116 Ratings","4,878 Reviews"
212,Butterfly,500 W,4.1,"₹2,299","₹3,999",42% off,"20,482 Ratings","37,475 Reviews"
213,Longway,700 W,4.3,"₹1,599","₹4,199",61% off,"37,031 Ratings","11,353 Reviews"
214,NutriPro,500 W,4.3,"₹1,599","₹5,000",68% off,"25,090 Ratings","3,074 Reviews"
215,BAJAJ,500 W,4.2,"₹2,099","₹4,125",49% off,"10,490 Ratings","5,562 Reviews"
216,Longway,750 W,4.2,"₹1,499","₹3,889",61% off,"59,904 Ratings","43,544 Reviews"
217,Flipkart,500 W,4,₹999,"₹3,590",72% off,"2,911 Ratings",
218,Longway,750 W,4.2,"₹1,499","₹3,899",61% off,"59,904 Ratings","43,544 Reviews"
219,Flipkart,500 W,4.1,"₹1,149","₹2,799",58% off,"32,899 Ratings","15,674 Reviews"
220,Pigeon,500 W,3.9,"₹1,649","₹4,995",66% off,"23,120 Ratings","1,482 Reviews"
221,Butterfly,750 W,4.3,"₹3,399","₹6,499",47% off,"90,390 Ratings","16,508 Reviews"
222,DIGISMART,500 W,4.4,₹899,"₹2,990",69% off,"22,449 Ratings","6,644 Reviews"
223,Moonstruck,750 W,4.2,"₹1,399","₹3,999",65% off,"8,004 Ratings","1,743 Reviews"
224,Prestige,750 W,4.2,"₹2,999","₹5,995",49% off,"33,333 Ratings","13,154 Reviews"
225,Flipkart,550 W,4,"₹1,099","₹2,810",60% off,"2,911 Ratings",
226,MAHARAJA,550 W,4,"₹2,799","₹5,399",48% off,"23,696 Ratings","2,181 Reviews"
227,Athots,550 W,4.3,₹999,"₹2,999",66% off,"8,818 Ratings","3,426 Reviews"
228,Prestige,750 W,4.2,"₹2,799","₹6,295",55% off,"33,333 Ratings","13,154 Reviews"
229,Ghoba,150 W,3.2,₹499,"₹2,199",77% off,"6,668 Ratings",
230,Growsmart,1100 W,4.2,"₹1,599","₹4,999",68% off,,
231,Growsmart,750 W,4,"₹1,144","₹3,799",69% off,,
232,Ghoba,300 W,3.1,₹515,"₹2,499",79% off,"1,941 Ratings",
233,NutriPro,500 W,4.3,"₹1,799","₹6,000",70% off,"25,090 Ratings","3,074 Reviews"
234,Sansui,500 W,4.1,"₹1,249","₹3,599",65% off,"56,116 Ratings","4,878 Reviews"
235,NutriPro,500 W,4.3,"₹1,599","₹5,000",68% off,"25,090 Ratings","3,074 Reviews"
236,Butterfly,500 W,4.1,"₹1,999","₹3,699",45% off,"20,482 Ratings","37,475 Reviews"
237,Longway,550 W,4.1,"₹1,398","₹3,699",62% off,"7,416 Ratings","1,529 Reviews"
238,Butterfly,500 W,4.1,"₹2,299","₹3,999",42% off,"20,482 Ratings","37,475 Reviews"
239,FRONY,450 W,3,,,,,
240,Longway,750 W,4.2,"₹1,499","₹3,889",61% off,"59,904 Ratings","43,544 Reviews"
241,Flipkart,500 W,4,₹999,"₹3,590",72% off,"2,911 Ratings",
242,Moonstruck,750 W,4.2,"₹1,399","₹3,999",65% off,"8,004 Ratings","1,743 Reviews"
243,Flipkart,500 W,4.1,"₹1,149","₹2,799",58% off,"32,899 Ratings","15,674 Reviews"
244,Pigeon,500 W,3.9,"₹1,649","₹4,995",66% off,"23,120 Ratings","1,482 Reviews"
245,Butterfly,750 W,4.3,"₹3,399","₹6,499",47% off,"90,390 Ratings","16,508 Reviews"
246,DIGISMART,500 W,4.4,₹899,"₹2,990",69% off,"22,449 Ratings","6,644 Reviews"
247,Longway,750 W,4.2,"₹1,499","₹3,899",61% off,"59,904 Ratings","43,544 Reviews"
248,Prestige,750 W,4.2,"₹2,999","₹5,995",49% off,"33,333 Ratings","13,154 Reviews"
249,Flipkart,550 W,4,"₹1,099","₹2,810",60% off,"2,911 Ratings",
250,Ghoba,150 W,3.2,₹499,"₹2,199",77% off,"6,668 Ratings",
